id;domicilio
69;CHACABUCO 255  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
70;AMEGHINO F. 420 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
71;P.1 DE MAYO 1174 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
72;9 DE JULIO 110 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
73;ACTIS 1753 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
74;SAN MARTIN GRAL 467 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
75;SAN MARTIN GRAL 979 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
76;ALEM L.N. 403 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
77;PINTO GRAL 69  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
78;CHACABUCO 472 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
79;TACUARI 168 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
80;11 DE SEPTIEMBRE 726 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
81;14 DE JULIO 496 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
82;SARMIENTO GRAL 304 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
83;ALEM L.N. 1177 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
84;MONTEVIDEO 609  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
85;BELGRANO M.GRAL 380  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
86;MONTEVIDEO 365  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
87;PINTO  877 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
88;BELGRANO M.GRAL 659 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
89;SAN LORENZO 138  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
90;RONDEAU  266 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
91;ESTRADA  446 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
92;SARMIENTO GRAL 1055 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
93;SARMIENTO  760 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
94;4 DE ABRIL 1365 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
95;SAN LORENZO 1345 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
96;AV.SANTAMARINA 479  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
97;9 DE JULIO 49  TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
98;SAN MARTIN GRAL 365 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
99;ALEM L.N. 832 TANDIL, PROVINCIA DE BUENOS AIRES, ARGENTINA
